coupon_price,coupon_status,coupon_type,coupon_expiration_date,coupon_qr_code_img_url,user_id,funding_id,created_date,modified_date
27905,USED,GIFTCARD,2023-11-28,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,6,2,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
49880,USED,SINGLE,2023-11-16,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,13,2,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
37121,USED,GIFTCARD,2023-11-19,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,39,2,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
1110,USED,SINGLE,2023-12-01,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,10,2,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
34370,USED,GIFTCARD,2023-11-22,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,47,2,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
6750,USED,GIFTCARD,2023-12-14,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,55,3,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
8100,USED,SINGLE,2023-12-07,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,38,3,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
33719,USED,GIFTCARD,2023-12-13,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,38,3,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
40491,USED,SINGLE,2023-12-10,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,48,3,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
33403,USED,GIFTCARD,2023-12-10,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,90,3,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
49109,USED,GIFTCARD,2023-12-08,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,1,3,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
39929,USED,SINGLE,2023-12-06,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,80,4,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
7259,USED,SINGLE,2023-12-14,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,37,4,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
4711,USED,SINGLE,2023-11-26,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,74,4,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
20757,USED,GIFTCARD,2023-12-07,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,45,4,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
5665,USED,SINGLE,2023-11-18,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,19,4,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
13773,USED,GIFTCARD,2023-12-09,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,29,5,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
29140,USED,SINGLE,2023-11-15,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,23,5,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
10168,USED,GIFTCARD,2023-12-04,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,9,5,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
39768,USED,SINGLE,2023-12-05,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,41,5,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
37167,USED,SINGLE,2023-11-30,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,12,5,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
25433,USED,SINGLE,2023-11-29,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,33,5,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
47203,USED,GIFTCARD,2023-11-25,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,52,5,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
36154,USED,GIFTCARD,2023-11-19,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,46,6,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
3625,USED,GIFTCARD,2023-11-20,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,20,6,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
15963,USED,SINGLE,2023-11-26,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,50,6,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
43081,USED,SINGLE,2023-11-28,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,86,6,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
9843,USED,GIFTCARD,2023-11-27,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,94,6,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
10100,USED,SINGLE,2023-12-02,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,37,6,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
14727,USED,GIFTCARD,2023-12-12,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,95,6,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
28892,USED,GIFTCARD,2023-12-14,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,65,7,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
22824,USED,SINGLE,2023-11-30,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,96,7,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
25927,USED,GIFTCARD,2023-12-14,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,32,7,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
28080,USED,SINGLE,2023-11-23,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,4,7,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
36681,USED,GIFTCARD,2023-12-02,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,89,7,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
27011,USED,GIFTCARD,2023-11-19,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,82,8,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
42696,USED,GIFTCARD,2023-11-25,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,26,8,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
5444,USED,SINGLE,2023-12-09,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,97,8,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
1003,USED,SINGLE,2023-12-12,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,54,8,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
17109,USED,GIFTCARD,2023-11-29,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,23,8,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
30995,USED,GIFTCARD,2023-11-27,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,12,8,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
5439,USED,GIFTCARD,2023-11-26,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,57,9,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
30563,USED,SINGLE,2023-12-05,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,16,9,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
48653,USED,GIFTCARD,2023-11-15,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,7,9,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
34858,USED,GIFTCARD,2023-11-24,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,1,9,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
32129,USED,SINGLE,2023-12-08,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,1,9,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
19304,USED,GIFTCARD,2023-11-22,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,42,10,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
18218,USED,SINGLE,2023-12-09,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,84,10,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
5767,USED,GIFTCARD,2023-11-18,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,60,10,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
42504,USED,SINGLE,2023-11-24,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,45,10,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
29898,USED,GIFTCARD,2023-12-08,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,22,10,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
8664,USED,GIFTCARD,2023-12-02,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,27,10,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
40161,USED,GIFTCARD,2023-12-04,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,87,10,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
35610,USED,SINGLE,2023-11-23,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,92,10,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
1516,USED,SINGLE,2023-11-25,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,15,11,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
36598,USED,SINGLE,2023-11-22,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,96,11,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
23748,USED,SINGLE,2023-12-10,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,36,11,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
16046,USED,GIFTCARD,2023-12-13,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,27,11,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
11815,USED,GIFTCARD,2023-11-29,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,75,11,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
15657,USED,GIFTCARD,2023-12-06,https://s3.ap-northeast-2.amazonaws.com/showeatbucket/qr/qr_code_1,30,11,2023-11-14 10:55:48.743136,2023-11-14 10:55:48.743136
